year,month,day,temp
2006,01,01,40.3
2006,01,02,39.1
2006,01,03,39.5
2006,01,04,36.0
2006,01,05,32.2
2006,01,06,33.3
2006,01,07,35.9
2006,01,08,37.2
2006,01,09,39.7
2006,01,10,34.3
2006,01,11,37.1
2006,01,12,40.3
2006,01,13,36.8
2006,01,14,38.0
2006,01,15,36.5
2006,01,16,39.5
2006,01,17,44.5
2006,01,18,46.6
2006,01,19,47.9
2006,01,20,45.4
2006,01,21,39.7
2006,01,22,39.0
2006,01,23,34.7
2006,01,24,28.5
2006,01,25,29.6
2006,01,26,33.0
2006,01,27,24.4
2006,01,28,29.1
2006,01,29,35.6
2006,01,30,32.7
2006,01,31,32.4
2006,02,01,31.3
2006,02,02,29.6
2006,02,03,26.9
2006,02,04,33.6
2006,02,05,38.5
2006,02,06,40.0
2006,02,07,40.4
2006,02,08,41.1
2006,02,09,36.5
2006,02,10,34.2
2006,02,11,34.5
2006,02,12,34.5
2006,02,13,42.2
2006,02,14,39.0
2006,02,15,46.7
2006,02,16,44.1
2006,02,17,41.9
2006,02,18,41.9
2006,02,19,41.4
2006,02,20,39.8
2006,02,21,35.4
2006,02,22,38.8
2006,02,23,33.6
2006,02,24,36.6
2006,02,25,35.3
2006,02,26,31.6
2006,02,27,30.8
2006,02,28,34.9
2006,03,01,30.3
2006,03,02,32.3
2006,03,03,35.2
2006,03,04,33.6
2006,03,05,32.7
2006,03,06,36.4
2006,03,07,36.1
2006,03,08,48.1
2006,03,09,47.4
2006,03,10,40.0
2006,03,11,38.3
2006,03,12,30.7
2006,03,13,32.0
2006,03,14,36.5
2006,03,15,41.0
2006,03,16,35.7
2006,03,17,36.8
2006,03,18,40.0
2006,03,19,42.7
2006,03,20,43.0
2006,03,21,38.2
2006,03,22,37.4
2006,03,23,40.8
2006,03,24,51.2
2006,03,25,52.4
2006,03,26,59.0
2006,03,27,57.3
2006,03,28,46.7
2006,03,29,49.1
2006,03,30,53.8
2006,03,31,54.6
2006,04,01,53.6
2006,04,02,51.2
2006,04,03,49.2
2006,04,04,43.8
2006,04,05,41.1
2006,04,06,42.0
2006,04,07,45.1
2006,04,08,46.2
2006,04,09,45.9
2006,04,10,43.0
2006,04,11,43.4
2006,04,12,47.8
2006,04,13,49.0
2006,04,14,53.4
2006,04,15,52.4
2006,04,16,50.7
2006,04,17,49.5
2006,04,18,47.1
2006,04,19,50.5
2006,04,20,54.4
2006,04,21,60.5
2006,04,22,58.4
2006,04,23,54.8
2006,04,24,57.3
2006,04,25,56.1
2006,04,26,56.6
2006,04,27,52.5
2006,04,28,49.4
2006,04,29,44.5
2006,04,30,44.7
2006,05,01,48.9
2006,05,02,58.9
2006,05,03,65.7
2006,05,04,68.1
2006,05,05,61.3
2006,05,06,58.8
2006,05,07,56.8
2006,05,08,54.9
2006,05,09,49.2
2006,05,10,51.7
2006,05,11,59.9
2006,05,12,63.3
2006,05,13,57.9
2006,05,14,55.9
2006,05,15,61.6
2006,05,16,61.5
2006,05,17,62.0
2006,05,18,63.0
2006,05,19,55.4
2006,05,20,55.6
2006,05,21,57.4
2006,05,22,55.9
2006,05,23,50.7
2006,05,24,51.8
2006,05,25,56.7
2006,05,26,61.6
2006,05,27,63.6
2006,05,28,59.4
2006,05,29,53.1
2006,05,30,47.6
2006,05,31,47.9
2006,06,01,49.5
2006,06,02,53.9
2006,06,03,58.7
2006,06,04,59.2
2006,06,05,63.7
2006,06,06,58.4
2006,06,07,62.4
2006,06,08,70.8
2006,06,09,69.0
2006,06,10,72.7
2006,06,11,75.9
2006,06,12,76.4
2006,06,13,77.0
2006,06,14,69.0
2006,06,15,62.1
2006,06,16,65.0
2006,06,17,69.9
2006,06,18,74.5
2006,06,19,67.7
2006,06,20,65.9
2006,06,21,61.5
2006,06,22,61.5
2006,06,23,65.7
2006,06,24,69.5
2006,06,25,62.5
2006,06,26,65.0
2006,06,27,65.9
2006,06,28,66.5
2006,06,29,69.3
2006,06,30,73.3
2006,07,01,76.6
2006,07,02,77.7
2006,07,03,78.9
2006,07,04,78.4
2006,07,05,70.4
2006,07,06,69.2
2006,07,07,66.9
2006,07,08,68.1
2006,07,09,69.0
2006,07,10,72.6
2006,07,11,70.8
2006,07,12,69.8
2006,07,13,70.5
2006,07,14,70.2
2006,07,15,74.1
2006,07,16,77.3
2006,07,17,79.7
2006,07,18,82.2
2006,07,19,75.4
2006,07,20,76.7
2006,07,21,83.9
2006,07,22,76.8
2006,07,23,73.1
2006,07,24,76.4
2006,07,25,81.1
2006,07,26,82.0
2006,07,27,72.5
2006,07,28,73.4
2006,07,29,72.5
2006,07,30,69.3
2006,07,31,67.5
2006,08,01,63.9
2006,08,02,62.6
2006,08,03,60.7
2006,08,04,63.9
2006,08,05,64.5
2006,08,06,66.0
2006,08,07,67.1
2006,08,08,65.1
2006,08,09,61.8
2006,08,10,60.4
2006,08,11,59.2
2006,08,12,56.9
2006,08,13,56.4
2006,08,14,60.7
2006,08,15,62.4
2006,08,16,62.8
2006,08,17,64.8
2006,08,18,62.6
2006,08,19,62.3
2006,08,20,62.0
2006,08,21,60.1
2006,08,22,60.3
2006,08,23,64.7
2006,08,24,59.7
2006,08,25,60.7
2006,08,26,62.0
2006,08,27,60.6
2006,08,28,57.9
2006,08,29,54.2
2006,08,30,58.8
2006,08,31,63.8
2006,09,01,68.5
2006,09,02,66.7
2006,09,03,70.5
2006,09,04,69.4
2006,09,05,68.6
2006,09,06,72.0
2006,09,07,64.8
2006,09,08,60.8
2006,09,09,63.3
2006,09,10,66.4
2006,09,11,74.0
2006,09,12,73.5
2006,09,13,72.5
2006,09,14,68.6
2006,09,15,63.9
2006,09,16,64.1
2006,09,17,61.0
2006,09,18,61.6
2006,09,19,61.1
2006,09,20,62.4
2006,09,21,71.2
2006,09,22,64.4
2006,09,23,65.2
2006,09,24,62.6
2006,09,25,60.8
2006,09,26,60.0
2006,09,27,60.1
2006,09,28,63.1
2006,09,29,63.3
2006,09,30,60.7
2006,10,01,62.4
2006,10,02,58.2
2006,10,03,54.5
2006,10,04,52.2
2006,10,05,55.0
2006,10,06,58.9
2006,10,07,54.3
2006,10,08,54.3
2006,10,09,57.3
2006,10,10,61.0
2006,10,11,61.5
2006,10,12,57.5
2006,10,13,57.1
2006,10,14,60.8
2006,10,15,56.4
2006,10,16,57.3
2006,10,17,57.2
2006,10,18,58.1
2006,10,19,59.0
2006,10,20,57.1
2006,10,21,56.7
2006,10,22,60.5
2006,10,23,61.3
2006,10,24,55.5
2006,10,25,57.4
2006,10,26,63.5
2006,10,27,58.5
2006,10,28,57.9
2006,10,29,59.2
2006,10,30,53.1
2006,10,31,52.4
2006,11,01,45.8
2006,11,02,40.7
2006,11,03,40.6
2006,11,04,41.0
2006,11,05,37.3
2006,11,06,38.3
2006,11,07,39.5
2006,11,08,47.2
2006,11,09,50.9
2006,11,10,42.7
2006,11,11,49.2
2006,11,12,48.6
2006,11,13,53.2
2006,11,14,56.2
2006,11,15,55.6
2006,11,16,56.3
2006,11,17,51.0
2006,11,18,47.9
2006,11,19,44.6
2006,11,20,46.7
2006,11,21,46.0
2006,11,22,42.2
2006,11,23,52.5
2006,11,24,52.1
2006,11,25,57.2
2006,11,26,51.8
2006,11,27,51.8
2006,11,28,50.3
2006,11,29,43.7
2006,11,30,40.4
2006,12,01,45.5
2006,12,02,49.2
2006,12,03,47.6
2006,12,04,52.2
2006,12,05,54.3
2006,12,06,46.4
2006,12,07,47.2
2006,12,08,47.2
2006,12,09,40.6
2006,12,10,38.9
2006,12,11,42.5
2006,12,12,41.7
2006,12,13,43.9
2006,12,14,40.3
2006,12,15,38.5
2006,12,16,40.8
2006,12,17,37.7
2006,12,18,38.3
2006,12,19,35.7
2006,12,20,36.4
2006,12,21,39.6
2006,12,22,39.8
2006,12,23,35.4
2006,12,24,34.8
2006,12,25,33.0
2006,12,26,30.7
2006,12,27,31.0
2006,12,28,28.6
2006,12,29,34.6
2006,12,30,46.9
2006,12,31,48.8
