year,month,day,temp
2009,01,01,32.1
2009,01,02,29.9
2009,01,03,30.2
2009,01,04,25.3
2009,01,05,28.9
2009,01,06,22.0
2009,01,07,22.0
2009,01,08,30.0
2009,01,09,23.9
2009,01,10,23.6
2009,01,11,29.4
2009,01,12,35.0
2009,01,13,38.4
2009,01,14,37.2
2009,01,15,36.2
2009,01,16,35.7
2009,01,17,43.1
2009,01,18,43.6
2009,01,19,44.7
2009,01,20,36.9
2009,01,21,34.2
2009,01,22,40.8
2009,01,23,45.2
2009,01,24,37.4
2009,01,25,38.1
2009,01,26,38.2
2009,01,27,36.5
2009,01,28,35.1
2009,01,29,30.8
2009,01,30,34.0
2009,01,31,33.5
2009,02,01,30.4
2009,02,02,32.4
2009,02,03,28.7
2009,02,04,31.0
2009,02,05,42.8
2009,02,06,42.6
2009,02,07,33.8
2009,02,08,33.6
2009,02,09,41.1
2009,02,10,40.7
2009,02,11,37.1
2009,02,12,35.6
2009,02,13,33.6
2009,02,14,34.0
2009,02,15,33.5
2009,02,16,40.9
2009,02,17,44.3
2009,02,18,41.0
2009,02,19,36.7
2009,02,20,43.1
2009,02,21,42.1
2009,02,22,43.2
2009,02,23,43.4
2009,02,24,42.3
2009,02,25,41.2
2009,02,26,41.0
2009,02,27,39.3
2009,02,28,46.0
2009,03,01,46.4
2009,03,02,42.9
2009,03,03,42.0
2009,03,04,38.9
2009,03,05,34.0
2009,03,06,38.8
2009,03,07,41.1
2009,03,08,45.9
2009,03,09,41.1
2009,03,10,45.7
2009,03,11,45.0
2009,03,12,48.6
2009,03,13,48.1
2009,03,14,48.0
2009,03,15,48.0
2009,03,16,47.5
2009,03,17,52.2
2009,03,18,52.2
2009,03,19,50.0
2009,03,20,45.6
2009,03,21,43.0
2009,03,22,44.0
2009,03,23,47.6
2009,03,24,41.7
2009,03,25,43.6
2009,03,26,44.9
2009,03,27,43.6
2009,03,28,43.6
2009,03,29,41.4
2009,03,30,43.7
2009,03,31,48.0
2009,04,01,51.2
2009,04,02,52.5
2009,04,03,53.1
2009,04,04,49.3
2009,04,05,53.0
2009,04,06,57.7
2009,04,07,52.3
2009,04,08,48.9
2009,04,09,58.2
2009,04,10,58.4
2009,04,11,57.0
2009,04,12,56.6
