year,month,day,temp
2008,01,01,38.1
2008,01,02,31.5
2008,01,03,34.3
2008,01,04,44.6
2008,01,05,45.9
2008,01,06,43.4
2008,01,07,46.7
2008,01,08,41.2
2008,01,09,44.0
2008,01,10,44.7
2008,01,11,47.8
2008,01,12,42.5
2008,01,13,42.2
2008,01,14,44.7
2008,01,15,46.2
2008,01,16,43.0
2008,01,17,45.1
2008,01,18,49.6
2008,01,19,53.6
2008,01,20,51.7
2008,01,21,49.0
2008,01,22,43.8
2008,01,23,43.9
2008,01,24,45.1
2008,01,25,39.1
2008,01,26,38.4
2008,01,27,38.2
2008,01,28,38.0
2008,01,29,35.1
2008,01,30,34.8
2008,01,31,36.2
2008,02,01,40.6
2008,02,02,36.2
2008,02,03,37.7
2008,02,04,42.3
2008,02,05,46.6
2008,02,06,47.6
2008,02,07,42.6
2008,02,08,43.7
2008,02,09,45.5
2008,02,10,45.0
2008,02,11,45.4
2008,02,12,44.8
2008,02,13,41.2
2008,02,14,36.8
2008,02,15,33.2
2008,02,16,35.5
2008,02,17,36.6
2008,02,18,40.1
2008,02,19,42.7
2008,02,20,45.7
2008,02,21,46.3
2008,02,22,48.7
2008,02,23,47.8
2008,02,24,48.5
2008,02,25,50.0
2008,02,26,48.1
2008,02,27,44.0
2008,02,28,48.6
2008,02,29,50.5
2008,03,01,52.1
2008,03,02,50.9
2008,03,03,45.9
2008,03,04,38.5
2008,03,05,36.8
2008,03,06,38.7
2008,03,07,44.8
2008,03,08,43.2
2008,03,09,44.2
2008,03,10,43.2
2008,03,11,48.3
2008,03,12,48.1
2008,03,13,46.1
2008,03,14,53.1
2008,03,15,52.3
2008,03,16,48.9
2008,03,17,43.3
2008,03,18,39.5
2008,03,19,39.1
2008,03,20,40.2
2008,03,21,43.8
2008,03,22,37.8
2008,03,23,35.6
2008,03,24,36.3
2008,03,25,37.7
2008,03,26,43.5
2008,03,27,42.6
2008,03,28,41.9
2008,03,29,47.5
2008,03,30,47.7
2008,03,31,45.9
2008,04,01,47.7
2008,04,02,49.0
2008,04,03,50.9
2008,04,04,47.9
2008,04,05,45.6
2008,04,06,37.9
2008,04,07,36.5
2008,04,08,41.7
2008,04,09,43.4
2008,04,10,45.7
2008,04,11,47.6
2008,04,12,46.6
2008,04,13,46.5
2008,04,14,44.6
2008,04,15,44.2
2008,04,16,46.2
2008,04,17,46.0
2008,04,18,49.9
2008,04,19,52.4
2008,04,20,53.9
2008,04,21,52.8
2008,04,22,54.1
2008,04,23,51.4
2008,04,24,51.8
2008,04,25,53.7
2008,04,26,59.5
2008,04,27,62.9
2008,04,28,51.4
2008,04,29,48.3
2008,04,30,48.7
2008,05,01,48.8
2008,05,02,53.2
2008,05,03,63.1
2008,05,04,63.9
2008,05,05,63.5
2008,05,06,64.0
2008,05,07,66.5
2008,05,08,67.7
2008,05,09,65.3
2008,05,10,68.5
2008,05,11,69.1
2008,05,12,67.3
2008,05,13,68.7
2008,05,14,66.0
2008,05,15,60.5
2008,05,16,61.2
2008,05,17,57.2
2008,05,18,54.7
2008,05,19,53.8
2008,05,20,56.1
2008,05,21,59.1
2008,05,22,61.2
2008,05,23,63.6
2008,05,24,63.5
2008,05,25,62.3
2008,05,26,59.6
2008,05,27,58.8
2008,05,28,62.6
2008,05,29,62.7
2008,05,30,64.9
2008,05,31,61.3
2008,06,01,62.4
2008,06,02,64.0
2008,06,03,57.8
2008,06,04,58.2
2008,06,05,60.7
2008,06,06,56.7
2008,06,07,57.6
2008,06,08,60.2
2008,06,09,68.8
2008,06,10,69.5
2008,06,11,62.9
2008,06,12,55.2
2008,06,13,54.9
2008,06,14,57.1
2008,06,15,54.5
2008,06,16,58.9
2008,06,17,62.3
2008,06,18,61.6
2008,06,19,60.8
2008,06,20,64.3
2008,06,21,69.6
2008,06,22,71.1
2008,06,23,62.9
2008,06,24,71.3
2008,06,25,68.8
2008,06,26,63.2
2008,06,27,64.4
2008,06,28,67.1
2008,06,29,67.2
2008,06,30,66.5
2008,07,01,74.5
2008,07,02,66.3
2008,07,03,60.0
2008,07,04,62.0
2008,07,05,65.0
2008,07,06,62.0
2008,07,07,58.6
2008,07,08,58.6
2008,07,09,63.5
2008,07,10,67.8
2008,07,11,64.0
2008,07,12,59.7
2008,07,13,58.6
2008,07,14,62.9
2008,07,15,68.0
2008,07,16,63.2
2008,07,17,63.5
