year,month,day,temp
2007,01,01,48.4
2007,01,02,42.7
2007,01,03,42.1
2007,01,04,47.5
2007,01,05,48.1
2007,01,06,51.2
2007,01,07,45.5
2007,01,08,51.0
2007,01,09,53.8
2007,01,10,48.6
2007,01,11,44.8
2007,01,12,48.9
2007,01,13,50.5
2007,01,14,44.8
2007,01,15,41.7
2007,01,16,45.3
2007,01,17,51.3
2007,01,18,55.2
2007,01,19,55.1
2007,01,20,51.5
2007,01,21,43.0
2007,01,22,39.7
2007,01,23,33.5
2007,01,24,33.3
2007,01,25,29.0
2007,01,26,29.3
2007,01,27,38.0
2007,01,28,38.6
2007,01,29,43.0
2007,01,30,45.1
2007,01,31,44.3
2007,02,01,47.4
2007,02,02,48.0
2007,02,03,44.0
2007,02,04,42.6
2007,02,05,40.7
2007,02,06,39.6
2007,02,07,34.7
2007,02,08,42.4
2007,02,09,42.6
2007,02,10,45.8
2007,02,11,48.8
2007,02,12,48.0
2007,02,13,46.3
2007,02,14,45.9
2007,02,15,41.7
2007,02,16,45.1
2007,02,17,51.2
2007,02,18,50.6
2007,02,19,44.1
2007,02,20,47.5
2007,02,21,48.3
2007,02,22,44.8
2007,02,23,47.9
2007,02,24,49.6
2007,02,25,45.9
2007,02,26,46.2
2007,02,27,47.2
2007,02,28,50.2
2007,03,01,48.7
2007,03,02,44.3
2007,03,03,50.3
2007,03,04,50.6
2007,03,05,49.7
2007,03,06,47.6
2007,03,07,46.9
2007,03,08,45.7
2007,03,09,45.1
2007,03,10,45.8
2007,03,11,49.3
2007,03,12,48.5
2007,03,13,47.3
2007,03,14,47.6
2007,03,15,47.2
2007,03,16,44.5
2007,03,17,47.4
2007,03,18,45.4
2007,03,19,36.3
2007,03,20,36.7
2007,03,21,38.3
2007,03,22,40.3
2007,03,23,37.7
2007,03,24,40.3
2007,03,25,44.4
2007,03,26,48.0
2007,03,27,47.3
2007,03,28,53.0
2007,03,29,46.3
2007,03,30,39.7
2007,03,31,43.5
2007,04,01,52.1
2007,04,02,57.7
2007,04,03,50.1
2007,04,04,44.1
2007,04,05,50.0
2007,04,06,54.5
2007,04,07,50.7
2007,04,08,52.8
2007,04,09,57.7
2007,04,10,53.6
2007,04,11,53.6
2007,04,12,61.7
2007,04,13,66.4
2007,04,14,69.7
2007,04,15,66.5
2007,04,16,65.2
2007,04,17,59.6
2007,04,18,54.3
2007,04,19,57.2
2007,04,20,60.5
2007,04,21,56.8
2007,04,22,65.3
2007,04,23,70.1
2007,04,24,62.9
2007,04,25,71.1
2007,04,26,64.8
2007,04,27,68.3
2007,04,28,71.9
2007,04,29,63.5
2007,04,30,62.1
2007,05,01,65.6
2007,05,02,63.2
2007,05,03,60.2
2007,05,04,58.0
2007,05,05,53.0
2007,05,06,53.9
2007,05,07,58.3
2007,05,08,59.1
2007,05,09,60.6
2007,05,10,62.2
2007,05,11,56.8
2007,05,12,58.8
2007,05,13,58.6
2007,05,14,54.7
2007,05,15,52.0
2007,05,16,54.2
2007,05,17,57.8
2007,05,18,64.6
2007,05,19,59.6
2007,05,20,54.2
2007,05,21,62.0
2007,05,22,61.7
2007,05,23,62.6
2007,05,24,67.9
2007,05,25,66.0
2007,05,26,60.4
2007,05,27,50.8
2007,05,28,49.3
2007,05,29,51.1
2007,05,30,54.2
2007,05,31,53.8
2007,06,01,55.4
2007,06,02,62.7
2007,06,03,65.4
2007,06,04,66.2
2007,06,05,66.3
2007,06,06,66.5
2007,06,07,63.4
2007,06,08,65.4
2007,06,09,66.6
2007,06,10,66.7
2007,06,11,66.5
2007,06,12,63.3
2007,06,13,65.9
2007,06,14,65.7
2007,06,15,61.4
2007,06,16,59.4
2007,06,17,60.4
2007,06,18,64.3
2007,06,19,69.8
2007,06,20,65.2
2007,06,21,63.0
2007,06,22,58.8
2007,06,23,61.2
2007,06,24,62.8
2007,06,25,58.5
2007,06,26,55.3
2007,06,27,55.6
2007,06,28,57.7
2007,06,29,59.0
2007,06,30,64.3
2007,07,01,65.5
2007,07,02,61.8
2007,07,03,59.5
2007,07,04,57.5
2007,07,05,58.8
2007,07,06,61.3
2007,07,07,61.6
2007,07,08,58.8
2007,07,09,54.2
2007,07,10,55.2
2007,07,11,59.0
2007,07,12,60.7
2007,07,13,71.5
2007,07,14,74.3
2007,07,15,76.5
2007,07,16,67.7
2007,07,17,65.1
2007,07,18,66.9
2007,07,19,70.8
2007,07,20,64.8
2007,07,21,61.5
2007,07,22,62.0
2007,07,23,60.4
2007,07,24,62.3
2007,07,25,62.9
2007,07,26,65.3
2007,07,27,64.9
2007,07,28,65.2
2007,07,29,62.4
2007,07,30,60.0
2007,07,31,61.4
2007,08,01,67.6
2007,08,02,63.1
2007,08,03,63.2
2007,08,04,70.4
2007,08,05,76.4
2007,08,06,64.8
2007,08,07,60.8
2007,08,08,56.8
2007,08,09,57.4
2007,08,10,59.4
2007,08,11,63.7
2007,08,12,64.5
2007,08,13,62.2
2007,08,14,64.2
2007,08,15,65.3
2007,08,16,59.9
2007,08,17,59.0
2007,08,18,61.5
2007,08,19,60.0
2007,08,20,57.3
2007,08,21,61.3
2007,08,22,60.7
2007,08,23,61.3
2007,08,24,63.4
2007,08,25,64.8
2007,08,26,67.7
2007,08,27,63.5
2007,08,28,60.7
2007,08,29,60.2
2007,08,30,58.4
2007,08,31,62.2
2007,09,01,61.7
2007,09,02,61.9
