year,month,day,temp
2010,09,11,65.2
2010,09,12,61.9
2010,09,13,59.4
2010,09,14,63.1
2010,09,15,59.8
2010,09,16,56.0
2010,09,17,54.3
2010,09,18,52.8
2010,09,19,55.2
2010,09,20,59.6
2010,09,21,63.1
2010,09,22,65.7
2010,09,23,65.0
2010,09,24,56.9
2010,09,25,51.7
2010,09,26,48.1
2010,09,27,50.4
2010,09,28,54.6
2010,09,29,58.9
2010,09,30,56.0
2010,10,01,53.9
2010,10,02,62.3
2010,10,03,65.6
2010,10,04,61.3
2010,10,05,57.6
2010,10,06,59.3
2010,10,07,62.8
2010,10,08,63.3
2010,10,09,65.0
2010,10,10,59.5
2010,10,11,57.3
2010,10,12,52.2
2010,10,13,47.9
2010,10,14,49.2
2010,10,15,50.9
2010,10,16,49.2
2010,10,17,42.3
2010,10,18,46.4
2010,10,19,49.9
2010,10,20,44.3
2010,10,21,40.0
2010,10,22,41.7
2010,10,23,43.7
2010,10,24,44.7
2010,10,25,42.8
2010,10,26,43.2
2010,10,27,49.2
2010,10,28,49.7
2010,10,29,53.5
2010,10,30,52.5
2010,10,31,52.8
2010,11,01,50.1
2010,11,02,48.4
2010,11,03,55.9
2010,11,04,57.7
2010,11,05,57.0
2010,11,06,51.8
2010,11,07,43.9
2010,11,08,40.0
2010,11,09,46.0
2010,11,10,43.2
2010,11,11,44.4
2010,11,12,54.0
2010,11,13,56.3
2010,11,14,53.1
2010,11,15,45.8
2010,11,16,44.7
2010,11,17,39.3
2010,11,18,42.6
2010,11,19,42.1
2010,11,20,45.1
2010,11,21,42.0
2010,11,22,38.8
2010,11,23,37.9
2010,11,24,39.4
2010,11,25,36.2
2010,11,26,32.1
2010,11,27,31.1
2010,11,28,31.6
2010,11,29,28.4
2010,11,30,26.5
2010,12,01,27.0
2010,12,02,27.2
2010,12,03,28.7
2010,12,04,29.8
2010,12,05,35.1
2010,12,06,34.3
2010,12,07,32.2
2010,12,08,31.9
2010,12,09,31.5
2010,12,10,33.5
2010,12,11,38.8
2010,12,12,40.0
2010,12,13,30.0
2010,12,14,29.2
2010,12,15,29.5
2010,12,16,35.3
2010,12,17,30.8
2010,12,18,30.3
2010,12,19,33.9
2010,12,20,31.9
2010,12,21,36.9
2010,12,22,33.7
2010,12,23,31.0
2010,12,24,30.1
2010,12,25,28.2
2010,12,26,28.0
2010,12,27,28.8
2010,12,28,32.4
2010,12,29,38.0
2010,12,30,36.7
2010,12,31,32.6
